trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-91.8268117428125,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-45.90011838012741,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-63.73533763189333,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-45.166542219915364,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-99.69274788306495,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-107.02174661373837,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,11,-43.80565593171811,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-125.78119965203967,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-142.81422195912188,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-19.177591520467782,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-52.32726995741146,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-146.38590934055273,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,4,-98.60431287298461,"{0: 15, 1: 4, 2: 4, 3: 3, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-118.24477337924671,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",35,0,-236.4688972978579,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-109.12939130239917,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-21.32098870272297,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,10,-73.26516970834582,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-45.480605826541,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-35.26007459393806,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
